, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, Santa Cecília do Sul , 14 , 0 , 854.2 , 0 , 0 , 0
, São Domingos do Sul , 13 , 0 , 422.9 , 0 , 0 , 0
, São Jorge , 13 , 0 , 460.3 , 0 , 0 , 0
, Alpestre , 13 , 0 , 207.7 , 0 , 0 , 0
, Arroio dos Ratos , 13 , 0 , 91.9 , 1 , 0 , 7.1
, Minas do Leão , 13 , 0 , 161.0 , 0 , 0 , 0
, Boa Vista do Sul , 13 , 0 , 467.1 , 1 , 0 , 35.9
, Marcelino Ramos , 13 , 0 , 295.3 , 0 , 0 , 0
, Nova Santa Rita , 13 , 1 , 44.4 , 0 , 0 , 0
, Santo Antônio do Palma , 13 , 0 , 610.9 , 0 , 0 , 0
, São Francisco de Paula , 13 , 0 , 59.9 , 0 , 0 , 0
, Tiradentes do Sul , 13 , 3 , 227.9 , 2 , 0 , 35.1
, Caraá , 13 , 4 , 157.2 , 0 , 0 , 0
, Arroio do Sal , 12 , 1 , 119.2 , 1 , 0 , 9.9
, Harmonia , 12 , 0 , 246.6 , 0 , 0 , 0
, Tabaí , 12 , 0 , 254.3 , 0 , 0 , 0
, Santa Tereza , 12 , 0 , 694.0 , 1 , 0 , 57.8
, Brochier , 12 , 0 , 236.5 , 0 , 0 , 0
, Pontão , 12 , 0 , 307.4 , 1 , 0 , 25.6
, Vale Verde , 12 , 0 , 343.2 , 0 , 0 , 0
, Vila Flores , 12 , 1 , 354.5 , 0 , 0 , 0
, São Luiz Gonzaga , 12 , 1 , 35.9 , 0 , 0 , 0
, Vila Nova do Sul , 12 , 0 , 280.4 , 0 , 0 , 0
, Barra do Ribeiro , 12 , 0 , 88.9 , 0 , 0 , 0
, Erval Grande , 12 , 0 , 247.0 , 0 , 0 , 0
, Água Santa , 12 , 1 , 320.2 , 0 , 0 , 0
, São José do Herval , 12 , 2 , 608.8 , 0 , 0 , 0
, Casca , 12 , 0 , 132.9 , 0 , 0 , 0
, Fontoura Xavier , 11 , 0 , 106.8 , 0 , 0 , 0
, Gentil , 11 , 0 , 673.2 , 0 , 0 , 0
, Tupanciretã , 11 , 0 , 45.9 , 1 , 0 , 4.2
, São Pedro da Serra , 11 , 0 , 289.4 , 0 , 0 , 0
, Santa Maria do Herval , 11 , 2 , 173.7 , 0 , 0 , 0
, Cacique Doble , 10 , 4 , 197.4 , 0 , 0 , 0
, Tupandi , 10 , 1 , 206.0 , 0 , 0 , 0
, Rio Pardo , 10 , 2 , 26.1 , 0 , 0 , 0
, Imigrante , 10 , 0 , 320.5 , 0 , 0 , 0
, Antônio Prado , 10 , 0 , 76.6 , 0 , 0 , 0
, Mato Leitão , 10 , 1 , 221.5 , 0 , 0 , 0
, Seberi , 10 , 2 , 93.0 , 1 , 0 , 9.3
, Balneário Pinhal , 10 , 1 , 71.1 , 0 , 0 , 0
, São Martinho , 10 , 0 , 184.3 , 0 , 0 , 0
, Giruá , 10 , 0 , 62.5 , 2 , 0 , 12.5
, Ponte Preta , 10 , 0 , 646.4 , 0 , 0 , 0
, Anta Gorda , 9 , 1 , 150.5 , 0 , 0 , 0
, Caseiros , 9 , 0 , 281.1 , 0 , 0 , 0
, Campinas do Sul , 9 , 0 , 165.0 , 0 , 0 , 0
, Candelária , 9 , 0 , 28.7 , 0 , 0 , 0
, Nova Bréscia , 9 , 0 , 270.3 , 0 , 0 , 0
, Xangri-lá , 9 , 2 , 54.9 , 1 , 1 , 6.1
, Ametista do Sul , 9 , 0 , 121.5 , 0 , 0 , 0
, Ibiaçá , 9 , 1 , 191.1 , 0 , 0 , 0
, Igrejinha , 9 , 0 , 24.4 , 0 , 0 , 0
, Itatiba do Sul , 9 , 0 , 270.8 , 0 , 0 , 0
, Morro Reuter , 9 , 0 , 140.5 , 0 , 0 , 0
, Marques de Souza , 8 , 0 , 199.6 , 0 , 0 , 0
, Fazenda Vilanova , 8 , 0 , 176.5 , 0 , 0 , 0
, Maratá , 8 , 1 , 297.3 , 0 , 0 , 0
, Campestre da Serra , 8 , 2 , 236.1 , 0 , 0 , 0
, Monte Belo do Sul , 8 , 0 , 314.0 , 1 , 0 , 39.2
, São José do Norte , 8 , 3 , 29.0 , 0 , 0 , 0
, David Canabarro , 8 , 1 , 168.8 , 0 , 0 , 0
, Nova Petrópolis , 7 , 0 , 32.8 , 1 , 0 , 4.7
, Piratini , 7 , 0 , 33.9 , 0 , 0 , 0
, Barão , 7 , 1 , 113.4 , 0 , 0 , 0
, Humaitá , 7 , 0 , 147.0 , 0 , 0 , 0
, Montauri , 7 , 0 , 481.8 , 0 , 0 , 0
, Itaara , 7 , 0 , 127.3 , 1 , 0 , 18.2
, Cruzaltense , 7 , 0 , 381.9 , 0 , 0 , 0
, Vespasiano Correa , 7 , 0 , 385.7 , 0 , 0 , 0
, Araricá , 7 , 1 , 122.9 , 1 , 1 , 17.6
, Aratiba , 7 , 0 , 112.3 , 0 , 0 , 0
, Tapera , 7 , 0 , 66.1 , 0 , 0 , 0
, Cotiporã , 7 , 0 , 181.7 , 0 , 0 , 0
, Iraí , 7 , 0 , 96.7 , 0 , 0 , 0
, Chapada , 6 , 0 , 64.7 , 0 , 0 , 0
, Crissiumal , 6 , 0 , 44.6 , 0 , 0 , 0
, Arvorezinha , 6 , 0 , 57.6 , 0 , 0 , 0
, Machadinho , 6 , 0 , 110.2 , 0 , 0 , 0
, Doutor Maurício Cardoso , 6 , 0 , 131.9 , 2 , 0 , 44.0
, Rio dos Índios , 6 , 0 , 218.0 , 0 , 0 , 0
, Itaqui , 6 , 0 , 15.9 , 0 , 0 , 0
, São José do Hortêncio , 6 , 1 , 124.9 , 0 , 0 , 0
, Arroio Grande , 6 , 0 , 32.8 , 0 , 0 , 0
, Catuípe , 6 , 0 , 68.4 , 0 , 0 , 0
, Chuvisca , 6 , 0 , 110.3 , 0 , 0 , 0
, São Vendelino , 5 , 0 , 222.9 , 0 , 0 , 0
, Morrinhos do Sul , 5 , 0 , 169.5 , 0 , 0 , 0
, Glorinha , 5 , 0 , 61.7 , 0 , 0 , 0
, Doutor Ricardo , 5 , 2 , 252.1 , 0 , 0 , 0
